10000 , 2000 , 30 , 513 , 259 , 8
10000 , 2000 , 35 , 571 , 281 , 9
10000 , 2000 , 40 , 549 , 250 , 13
10000 , 2000 , 45 , 532 , 243 , 11
10000 , 2000 , 50 , 544 , 250 , 11
10000 , 2000 , 55 , 401 , 216 , 12
10000 , 2000 , 60 , 514 , 253 , 14
10000 , 2000 , 65 , 525 , 250 , 15
10000 , 2000 , 70 , 680 , 296 , 18
10000 , 2000 , 75 , 559 , 262 , 18
10000 , 2000 , 80 , 563 , 269 , 22
10000 , 2000 , 85 , 701 , 295 , 20
10000 , 2000 , 90 , 553 , 257 , 22
10000 , 2000 , 95 , 566 , 263 , 27
10000 , 2000 , 100 , 711 , 298 , 24
10000 , 2000 , 105 , 574 , 270 , 25
10000 , 2000 , 110 , 567 , 262 , 27
10000 , 2000 , 115 , 714 , 385 , 51
10000 , 2000 , 120 , 851 , 344 , 29
10000 , 2000 , 125 , 855 , 350 , 34
10000 , 2000 , 130 , 722 , 303 , 32
10000 , 2000 , 135 , 723 , 306 , 28
10000 , 2000 , 140 , 729 , 308 , 34
10000 , 2000 , 145 , 606 , 270 , 35
10000 , 2000 , 150 , 725 , 313 , 35
10000 , 2000 , 155 , 919 , 414 , 39
10000 , 2000 , 160 , 744 , 313 , 56
10000 , 2000 , 165 , 759 , 313 , 41
10000 , 2000 , 170 , 1322 , 444 , 50
10000 , 2000 , 175 , 897 , 360 , 42
10000 , 2000 , 180 , 606 , 277 , 46
10000 , 2000 , 185 , 900 , 355 , 45
10000 , 2000 , 190 , 776 , 317 , 42
10000 , 2000 , 195 , 625 , 284 , 44
10000 , 2000 , 200 , 845 , 437 , 50
10000 , 2000 , 205 , 622 , 316 , 42
10000 , 2000 , 210 , 1062 , 400 , 48
10000 , 2000 , 215 , 785 , 339 , 52
10000 , 2000 , 220 , 756 , 317 , 50
10000 , 2000 , 225 , 614 , 282 , 51
10000 , 2000 , 230 , 961 , 388 , 57
10000 , 2000 , 235 , 959 , 377 , 56
10000 , 2000 , 240 , 768 , 335 , 57
10000 , 2000 , 245 , 782 , 337 , 57
10000 , 2000 , 250 , 1234 , 453 , 62
10000 , 2000 , 255 , 1060 , 384 , 62
10000 , 2000 , 260 , 1012 , 379 , 62
10000 , 2000 , 265 , 1092 , 377 , 67
10000 , 2000 , 270 , 997 , 387 , 67
10000 , 2000 , 275 , 1181 , 444 , 73
10000 , 2000 , 280 , 633 , 290 , 61
10000 , 2000 , 285 , 997 , 405 , 68
10000 , 2000 , 290 , 995 , 392 , 66
10000 , 2000 , 295 , 1130 , 436 , 70
10000 , 2000 , 300 , 812 , 341 , 70
10000 , 2000 , 305 , 845 , 352 , 83
10000 , 2000 , 310 , 823 , 350 , 75
10000 , 2000 , 315 , 907 , 349 , 70
10000 , 2000 , 320 , 1209 , 443 , 80
10000 , 2000 , 325 , 841 , 354 , 83
10000 , 2000 , 330 , 1023 , 405 , 85
10000 , 2000 , 335 , 1043 , 418 , 85
10000 , 2000 , 340 , 1053 , 407 , 74
